symptoms,disease
high blood sugar frequent urination fatigue,Diabetes
excessive thirst blurred vision high glucose,Diabetes
weight loss increased hunger fatigue,Diabetes
frequent urination dry mouth tiredness,Diabetes
high glucose level weakness dizziness,Diabetes
blurred vision excessive urination thirst,Diabetes
elevated blood sugar nausea fatigue,Diabetes
slow wound healing high sugar levels,Diabetes
frequent urination unexplained weight loss,Diabetes
increased thirst high blood glucose,Diabetes
fatigue excessive hunger high sugar,Diabetes
tingling feet high glucose level,Diabetes
recurrent infections high blood sugar,Diabetes
dry skin thirst fatigue high sugar,Diabetes
polyuria polydipsia hyperglycemia,Diabetes
persistent thirst blurred eyesight,Diabetes
glucose imbalance frequent urination,Diabetes
high sugar headache dizziness,Diabetes
blood sugar spike fatigue weakness,Diabetes
hyperglycemia frequent urination thirst,Diabetes

fever cough sore throat,Infection
high temperature bacterial infection,Infection
swelling redness pain infection,Infection
pus discharge wound infection,Infection
chills body pain infection,Infection
skin infection itching redness,Infection
urinary infection burning sensation,Infection
ear infection pain fever,Infection
viral infection fatigue cough,Infection
bacterial infection swelling pain,Infection
throat infection difficulty swallowing,Infection
fever headache infection symptoms,Infection
chest infection breathing difficulty,Infection
infection inflammation redness pain,Infection
fever fatigue viral infection,Infection
infection pus swelling fever,Infection
persistent fever infection sign,Infection
cough congestion infection,Infection
infection with chills weakness,Infection
localized infection swelling redness,Infection

high temperature body pain,Fever
mild fever weakness headache,Fever
high fever chills sweating,Fever
low grade fever fatigue,Fever
fever with shivering,Fever
temperature rise weakness body ache,Fever
continuous fever sweating,Fever
fever headache nausea,Fever
intermittent fever chills,Fever
sudden fever body pain,Fever
fever tiredness dehydration,Fever
viral fever weakness,Fever
fever sweating fatigue,Fever
fever with muscle pain,Fever
high fever dizziness,Fever
fever chills fatigue,Fever
persistent fever headache,Fever
mild fever sore body,Fever
elevated temperature weakness,Fever
fever with mild cough,Fever

high blood pressure dizziness headache,Hypertension
elevated bp blurred vision,Hypertension
hypertension chest pain headache,Hypertension
high bp fatigue nosebleed,Hypertension
persistent high blood pressure,Hypertension
bp spike headache dizziness,Hypertension
pressure in head high bp,Hypertension
hypertension weakness vision problems,Hypertension
high blood pressure anxiety,Hypertension
bp fluctuation headache,Hypertension
elevated pressure chest discomfort,Hypertension
hypertension fatigue confusion,Hypertension
blood pressure increase dizziness,Hypertension
stage 1 hypertension symptoms,Hypertension
severe hypertension headache,Hypertension
bp high nausea dizziness,Hypertension
hypertension blurred eyesight,Hypertension
high bp lightheadedness,Hypertension
pressure elevation headache,Hypertension
hypertension with chest tightness,Hypertension

stomach pain burning sensation acidity,Gastritis
acid reflux abdominal discomfort,Gastritis
gas bloating stomach ache,Gastritis
indigestion nausea acidity,Gastritis
upper abdominal pain burning,Gastritis
gastric irritation nausea,Gastritis
stomach cramps acid reflux,Gastritis
bloating heartburn stomach pain,Gastritis
gastric inflammation nausea,Gastritis
acidity chest burning sensation,Gastritis
gastric pain after eating,Gastritis
indigestion stomach discomfort,Gastritis
acidic taste throat burning,Gastritis
gastric upset abdominal pain,Gastritis
stomach irritation nausea vomiting,Gastritis
chronic acidity stomach pain,Gastritis
gastric swelling discomfort,Gastritis
burning stomach pain after meals,Gastritis
acid reflux nausea fatigue,Gastritis
gas trouble abdominal bloating,Gastritis

severe headache nausea light sensitivity,Migraine
throbbing headache vomiting,Migraine
migraine attack visual aura,Migraine
one sided headache nausea,Migraine
head pain sensitivity to light,Migraine
pulsating headache dizziness,Migraine
migraine nausea vomiting,Migraine
severe head pain aura,Migraine
migraine with sound sensitivity,Migraine
headache throbbing nausea,Migraine
migraine triggered by stress,Migraine
sharp headache vomiting,Migraine
migraine dizziness blurred vision,Migraine
intense headache light sensitivity,Migraine
migraine aura nausea,Migraine
persistent migraine symptoms,Migraine
head pain nausea fatigue,Migraine
migraine with visual disturbance,Migraine
pounding headache nausea,Migraine
chronic migraine symptoms,Migraine

runny nose sneezing cold,Cold
cough mild fever cold,Cold
nasal congestion sneezing,Cold
common cold sore throat,Cold
cold with headache runny nose,Cold
sneezing congestion watery eyes,Cold
mild cough cold symptoms,Cold
blocked nose sneezing fatigue,Cold
cold with mild fever,Cold
runny nose throat irritation,Cold
nasal discharge sneezing cold,Cold
cold symptoms mild cough,Cold
sore throat runny nose,Cold
congestion sneezing cold,Cold
cold fatigue mild fever,Cold
runny nose headache cold,Cold
mild cold nasal congestion,Cold
cold with sneezing and cough,Cold
viral cold symptoms runny nose,Cold
persistent cold sneezing,Cold

shortness of breath wheezing,Asthma
breathing difficulty chest tightness,Asthma
asthma attack wheezing cough,Asthma
chest tightness short breath,Asthma
difficulty breathing wheezing,Asthma
asthma cough breathlessness,Asthma
wheezing night cough,Asthma
short breath chest pressure,Asthma
asthma triggered by dust,Asthma
persistent wheezing cough,Asthma
breathing trouble wheezing,Asthma
tight chest difficulty breathing,Asthma
asthma symptoms coughing,Asthma
short breath during exercise,Asthma
asthma flare wheezing,Asthma
breathing issues chest tightness,Asthma
wheezing fatigue breathlessness,Asthma
asthma cough tight chest,Asthma
short breath wheeze attack,Asthma
asthma episode breathing problem,Asthma

high fever cough chest pain,Pneumonia
difficulty breathing chest infection,Pneumonia
persistent cough fever pneumonia,Pneumonia
chest pain breathing trouble,Pneumonia
pneumonia symptoms high fever,Pneumonia
productive cough chest tightness,Pneumonia
fever chills chest infection,Pneumonia
short breath fever cough,Pneumonia
lung infection fever cough,Pneumonia
pneumonia chest discomfort,Pneumonia
severe cough chest pain,Pneumonia
breathing difficulty high fever,Pneumonia
pneumonia fatigue weakness,Pneumonia
chest congestion fever,Pneumonia
pneumonia cough mucus,Pneumonia
persistent fever lung infection,Pneumonia
coughing with chest pain,Pneumonia
pneumonia breathing distress,Pneumonia
lung infection symptoms fever,Pneumonia
pneumonia high temperature cough,Pneumonia

fatigue weakness pale skin,Anemia
low hemoglobin tiredness dizziness,Anemia
short breath fatigue anemia,Anemia
pale skin weakness,Anemia
anemia symptoms fatigue,Anemia
iron deficiency weakness,Anemia
dizziness low hemoglobin,Anemia
anemia tiredness pale face,Anemia
fatigue brittle nails,Anemia
weakness short breath,Anemia
low iron fatigue dizziness,Anemia
anemia headache weakness,Anemia
pale skin fatigue dizziness,Anemia
iron deficiency anemia symptoms,Anemia
weakness tiredness pale complexion,Anemia
anemia low energy fatigue,Anemia
dizziness fatigue anemia,Anemia
short breath pale skin,Anemia
iron deficiency tiredness,Anemia
chronic fatigue low hemoglobin,Anemia

joint pain stiffness swelling,Arthritis
arthritis knee pain swelling,Arthritis
joint inflammation pain stiffness,Arthritis
morning stiffness joint pain,Arthritis
arthritis symptoms swelling pain,Arthritis
joint pain limited movement,Arthritis
arthritis hand pain swelling,Arthritis
knee stiffness joint pain,Arthritis
joint tenderness inflammation,Arthritis
arthritis chronic joint pain,Arthritis
swollen joints pain stiffness,Arthritis
arthritis hip pain,Arthritis
joint discomfort swelling,Arthritis
arthritis fatigue joint pain,Arthritis
painful joints morning stiffness,Arthritis
arthritis mobility issue,Arthritis
joint ache swelling redness,Arthritis
arthritis inflammation pain,Arthritis
chronic joint stiffness pain,Arthritis
arthritic joint swelling pain,Arthritis

persistent sadness fatigue,Depression
loss of interest low mood,Depression
depression symptoms insomnia fatigue,Depression
feeling hopeless tiredness,Depression
low energy sadness depression,Depression
sleep disturbance mood changes,Depression
lack of motivation fatigue,Depression
depression anxiety low mood,Depression
persistent low mood insomnia,Depression
feeling worthless fatigue,Depression
depression appetite change,Depression
sadness loss interest fatigue,Depression
depression low concentration,Depression
mood swings persistent sadness,Depression
chronic sadness insomnia,Depression
fatigue emotional distress,Depression
loss of pleasure low mood,Depression
depression low self esteem,Depression
persistent fatigue sadness,Depression
mental health low mood,Depression
