drug_name,disease,min_age,max_age,allergy,side_effect_severity,effectiveness_score
Metformin,Diabetes,18,80,None,2,9
Insulin,Diabetes,10,90,None,3,10
Glimepiride,Diabetes,18,75,Sulfa,4,8
Amoxicillin,Infection,5,65,Penicillin,4,8
Azithromycin,Infection,10,70,None,3,9
Paracetamol,Fever,1,90,None,1,8
Ibuprofen,Fever,10,65,None,2,7
Losartan,Hypertension,30,85,None,3,9
Amlodipine,Hypertension,25,80,None,2,8
Omeprazole,Gastritis,18,80,None,2,9
Pantoprazole,Gastritis,18,75,None,3,8
Sumatriptan,Migraine,18,65,None,3,9
Ibuprofen,Migraine,12,70,None,2,8
Cetirizine,Cold,5,70,None,1,8
Levocetirizine,Cold,6,65,None,1,8
Salbutamol,Asthma,5,80,None,3,9
Budesonide,Asthma,6,75,None,4,8
Azithromycin,Pneumonia,10,80,None,3,9
Levofloxacin,Pneumonia,18,75,None,4,8
Iron Supplements,Anemia,5,90,None,2,9
Ferrous Sulfate,Anemia,5,85,None,3,8
Ibuprofen,Arthritis,12,75,None,2,8
Diclofenac,Arthritis,18,70,None,3,9
Fluoxetine,Depression,18,65,None,3,9
Sertraline,Depression,18,70,None,4,8
