symptoms,disease
high sugar frequent urination fatigue,Diabetes
excess thirst blurred vision high sugar,Diabetes
weight loss fatigue frequent urination,Diabetes
increased hunger high blood glucose,Diabetes
fever cough sore throat,Infection
fever body pain chills,Infection
high temperature bacterial infection,Infection
swelling redness infection,Infection
high temperature body pain,Fever
headache fever chills,Fever
mild fever weakness,Fever
high blood pressure dizziness,Hypertension
chest pain high bp,Hypertension
hypertension headache blurred vision,Hypertension
stomach pain burning sensation acidity,Gastritis
gas bloating abdominal pain,Gastritis
indigestion nausea stomach discomfort,Gastritis
severe headache nausea light sensitivity,Migraine
throbbing headache vomiting,Migraine
runny nose sneezing cold,Cold
cough mild fever cold,Cold
shortness of breath wheezing,Asthma
breathing difficulty chest tightness,Asthma
