symptoms,disease
hyperglycemia frequent urination excessive thirst,Diabetes
polyuria polydipsia unexplained weight loss,Diabetes
elevated blood glucose fatigue blurred vision,Diabetes
high fasting glucose persistent thirst,Diabetes
insulin resistance elevated sugar levels,Diabetes
glycemic imbalance increased hunger fatigue,Diabetes
type 2 diabetes high sugar symptoms,Diabetes
blood sugar spike dizziness fatigue,Diabetes
chronic hyperglycemia polyuria,Diabetes
high hba1c glucose imbalance,Diabetes
persistent thirst hyperglycemia weakness,Diabetes
frequent urination elevated glucose,Diabetes
glucose intolerance fatigue,Diabetes
elevated plasma glucose thirst,Diabetes
metabolic disorder high sugar,Diabetes
insulin deficiency hyperglycemia,Diabetes
glucose level above normal,Diabetes
diabetic symptoms frequent urination,Diabetes
glycemic disorder fatigue,Diabetes
high blood sugar dehydration,Diabetes
chronic thirst polyuria,Diabetes
insulin imbalance hyperglycemia,Diabetes
elevated sugar concentration blood,Diabetes
excessive urination glucose imbalance,Diabetes
persistent hyperglycemia fatigue,Diabetes
glucose metabolism disorder,Diabetes
high sugar vision disturbance,Diabetes
diabetes mellitus type 2 symptoms,Diabetes
glycemic instability weakness,Diabetes
high plasma glucose levels,Diabetes
frequent urination sugar elevation,Diabetes
elevated glycemic index fatigue,Diabetes
insulin resistance symptoms,Diabetes
chronic glucose elevation,Diabetes
hyperglycemia dizziness fatigue,Diabetes
persistent sugar imbalance,Diabetes
blood glucose disorder symptoms,Diabetes
polyphagia polyuria polydipsia,Diabetes
elevated glucose reading fatigue,Diabetes
glucose imbalance thirst fatigue,Diabetes
high sugar metabolic dysfunction,Diabetes
fasting glucose above normal,Diabetes
persistent glycemic disorder,Diabetes
insulin production deficiency,Diabetes
blood sugar instability fatigue,Diabetes
chronic hyperglycemia symptoms,Diabetes
diabetic glucose imbalance,Diabetes
elevated sugar metabolism disorder,Diabetes
glycemic disorder thirst weakness,Diabetes
type 2 diabetes hyperglycemia,Diabetes
abnormal glucose tolerance test,Diabetes
frequent urination dehydration high sugar,Diabetes
hyperglycemia metabolic symptoms,Diabetes
high glucose fatigue dizziness,Diabetes
persistent elevated sugar levels,Diabetes
glucose dysregulation symptoms,Diabetes
diabetic metabolic imbalance,Diabetes
glycemic elevation thirst fatigue,Diabetes
blood sugar dysregulation weakness,Diabetes

elevated blood pressure persistent headache,Hypertension
systolic pressure above normal dizziness,Hypertension
diastolic hypertension blurred vision,Hypertension
stage 1 hypertension chest discomfort,Hypertension
high arterial pressure fatigue,Hypertension
bp elevation nosebleed headache,Hypertension
chronic hypertension lightheadedness,Hypertension
increased vascular pressure dizziness,Hypertension
persistent high bp anxiety,Hypertension
hypertensive episode chest tightness,Hypertension
arterial pressure elevation weakness,Hypertension
high systolic reading fatigue,Hypertension
uncontrolled blood pressure headache,Hypertension
pressure imbalance dizziness fatigue,Hypertension
hypertensive crisis headache nausea,Hypertension
vascular resistance increase symptoms,Hypertension
elevated bp blurred eyesight,Hypertension
chronic arterial hypertension fatigue,Hypertension
persistent bp spike headache,Hypertension
pressure elevation chest discomfort,Hypertension
stage 2 hypertension dizziness,Hypertension
hypertensive disorder vision changes,Hypertension
arterial stiffness high pressure,Hypertension
blood pressure instability headache,Hypertension
sustained hypertension fatigue,Hypertension
elevated systolic diastolic pressure,Hypertension
hypertensive symptoms chest pressure,Hypertension
arterial pressure surge dizziness,Hypertension
vascular hypertension symptoms,Hypertension
high bp persistent headache,Hypertension
increased systolic value fatigue,Hypertension
blood pressure above 140 90,Hypertension
hypertensive vascular disorder,Hypertension
arterial hypertension dizziness nausea,Hypertension
bp abnormality headache fatigue,Hypertension
vascular strain high pressure,Hypertension
hypertension induced headache,Hypertension
elevated bp cardiovascular stress,Hypertension
pressure elevation vascular symptoms,Hypertension
arterial dysfunction high bp,Hypertension
persistent hypertensive readings,Hypertension
blood pressure dysregulation symptoms,Hypertension
elevated arterial pressure fatigue,Hypertension
hypertensive vascular stiffness,Hypertension
uncontrolled hypertension dizziness,Hypertension
arterial pressure increase headache,Hypertension
hypertension with vision disturbance,Hypertension
sustained high bp symptoms,Hypertension
pressure spike cardiovascular stress,Hypertension
hypertensive fatigue dizziness,Hypertension
chronic high blood pressure,Hypertension
arterial tension elevation,Hypertension
hypertension related headache,Hypertension
persistent bp elevation fatigue,Hypertension
vascular pressure overload,Hypertension
elevated diastolic reading symptoms,Hypertension
hypertensive state dizziness,Hypertension
arterial hypertension chest discomfort,Hypertension
high bp cardiovascular strain,Hypertension
pressure imbalance vascular symptoms,Hypertension

productive cough purulent sputum chest pain,Pneumonia
lung infection alveolar inflammation,Pneumonia
pneumonic consolidation chest crackles,Pneumonia
high fever productive cough,Pneumonia
chest radiograph infiltrates,Pneumonia
